applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"ELWHA LLC","ELWHA LLC","0","G06F2009/45595; G06F9/45558; H04W16/26; H04W16/28","","20","HYDE RODERICK A; JUNG EDWARD K Y; LEVIEN ROYCE A; LORD RICHARD T; LORD ROBERT W; MALAMUD MARK A; REUDINK DOUG O; TEGREENE CLARENCE T","G06F9/455; H04L12/24; H04W24/04; H04W64/00","Computing; Electric Communication/Television; Wireless Communication Networks","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","US 201313891369 A; US 201313927870 A; US 201313934389 A; US 201313935657 A; US 201313952387 A; US 201313953480 A","2013","US","United States of America","2014-11-13","US 2014/0337839 A1","2014","Dynamic Point To Point Mobile Network Including Intermediate Device Aspects System And Method","dynamic Point; Intermediate Device Aspects System; Mobile Network","https://lens.org/188-332-679-817-788"
"","KUNOWSKI JON","0","B64C39/026","","2","KUNOWSKI JEFF; KUNOWSKI JON","B64C39/02","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","US","United States of America","US 27008109 P","2009","WO","WIPO (PCT)","2011-1-6","WO 2011/002517 A2","2011","Turbine Powered Personal Flight System","turbine Powered Personal Flight System","https://lens.org/108-081-089-738-750"
"ISRAEL STATE; UNIV FRASER SIMON","ISRAEL STATE; UNIV FRASER SIMON","0","A61K2300/00; A61K31/075; A61K31/09; A61K36/185; A61K36/28; A61K36/45; A61K36/53; A61K36/534; A61K36/54; A61K36/61; A61K36/899; A61K45/06","10.1016/j.chemosphere.2013.04.065; 10.1021/cc700139y; 10.1021/jf071636d; 10.1371/journal.pone.0106889","1","PLETTNER ERIKA; SOROKER VICTORIA","A61K31/075; A61K31/09; A61P33/14","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations","ELIASH, N. ET AL.: ""Can We disrupt the Sensing of Honey Bees by the Bee Parasite Varroa destructor?"", PLOS ONE, vol. 9, no. issue 9, September 2014 (2014-09-01), pages 1 - 13, XP055227489;;AKHTAR, Y. ET AL.: ""Screening of Dialkoxybenzenes and Disubstitued Cyclopentene Derivatives against Cabage Looper, Trichoplusia ni, for the Discovery of New Feeding and Oviposition Deterrents"", J. AGRIC. FOOD CHEM., vol. 55, no. 25, 2007, pages 10323 - 10330, XP055227490, ISSN: 0021-8561;;PADURARU, P. M. ET AL.: ""Synthesis of Substituted Alkoxy Benzene Minilibraries, for the Discovery of New Insect Olfaction or Gustation Inhibitors"", J. COMB. CHEM., vol. 10, 2008, pages 123 - 134, XP002729841;;EBRAHIMI, P. ET AL.: ""Partition, sorption and structure activity relation study of dialkoxybenzenes that modulate insect behavior"", CHEMOSPHERE, vol. 93, no. 1, 2013, pages 54 - 60, XP028694685","US","United States of America","US 201461969742 P","2014","WO","WIPO (PCT)","2015-10-1","WO 2015/143536 A1","2015","Honey Bee Mite Disruptive Compounds And Methods Of Application","honey Bee Mite Disruptive Compounds","https://lens.org/192-603-478-312-739"
"","","0","","","2","","B61L23/04","Railways","B61L: Performing Operations; Transporting -> Railways -> Guiding Railway Traffic; Ensuring The Safety Of Railway Traffic","","CN","China","CN 201210304069 A","2012","CN","China","2016-2-10","CN 102849090 B","2016","CN 102849090 B","CN 102849090 B","https://lens.org/100-212-558-035-625"
"ALCATEL LUCENT","ALCATEL LUCENT","0","B64C2201/122; B64C2201/143; H04W36/0055; H04W84/06","","2","AYDIN OSMAN; GEBERT JENS; MALANCHINI ILARIA","B64C39/02; H04W36/00; H04W84/06","Aircraft; Wireless Communication Networks","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","EP","European Patent Office","EP 14290212 A","2014","WO","WIPO (PCT)","2016-1-28","WO 2016/012437 A1","2016","Seamless Replacement Of A First Drone Base Station With A Second Drone Base Station","First Drone Base Station; seamless Replacement; Second Drone Base Station","https://lens.org/054-932-622-826-00X"
"","WATABE KAORU","0","","","1","WATABE KAORU","G08B25/00; H04N7/18; H04W4/02","Signalling; Electric Communication/Television; Wireless Communication Networks","G08B: Physics -> Signalling -> Signalling Or Calling Systems; Order Telegraphs; Alarm Systems; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","JP","Japan","JP 2014087265 A","2014","JP","Japan","2015-11-19","JP 2015207149 A","2015","Monitoring System And Monitoring Method","","https://lens.org/059-673-998-570-178"
"","CHEN SHANGFA","0","","","2","SHANGFA CHEN","A23B4/00; A23L21/20","Foodstuffs","A23B: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Preserving, E.G. By Canning, Meat, Fish, Eggs, Fruit, Vegetables, Edible Seeds; Chemical Ripening Of Fruit Or Vegetables; The Preserved, Ripened, Or Canned Products; A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General","","CN","China","CN 88103583 A","1988","CN","China","1991-7-17","CN 1013168 B","1991","Simple Processing Technology Of Drone Pupae","Drone Pupae; simple Processing Technology","https://lens.org/130-026-496-030-667"
"","LIU BENHUA","0","","","2","BENHUA LIU","A23L21/20","Foodstuffs","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General","","CN","China","CN 88106581 A","1988","CN","China","1995-4-19","CN 1028200 C","1995","Extraction Process Of Drone Nutrient","Drone Nutrient; extraction Process","https://lens.org/139-918-063-999-334"
"","LIU BENHUA","5","","","1","BENHUA LIU","A23L21/20; C12P1/00","Foodstuffs; Biochemistry","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General; C12P: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Fermentation Or Enzyme-Using Processes To Synthesise A Desired Chemical Compound Or Composition Or To Separate Optical Isomers From A Racemic Mixture","","CN","China","CN 89101221 A","1989","CN","China","1990-9-12","CN 1045276 A","1990","Extracting Technology Of Drone Nutritious Composition And Its Use","Drone Nutritious Composition","https://lens.org/028-603-319-910-962"
"","","0","A61K31/575","","12","ENOMOTO KOTARO; NAKATA TADASHI; SHIMIZU TAKESHI; SUZUKI KUNIO","A23L33/20; A61K31/575; A61P3/04; C07J9/00","Foodstuffs; Medical; Organic Chemistry","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General; A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07J: Chemistry; Metallurgy -> Organic Chemistry -> Steroids","","JP","Japan","JP 23574294 A; JP 24545993 A","1993; 1994","CA","Canada","1999-8-31","CA 2173147 C","1999","Anti-obesity Agent","anti-obesity Agent","https://lens.org/122-940-807-995-242"
"","LIU BENHUA","0","","","1","YU LIU BENHUA LIU","A23L21/20; A61K35/64","Foodstuffs; Medical","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General; A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes","","CN","China","CN 90108923 A","1990","CN","China","1992-6-3","CN 1061529 A","1992","Technology Method Of Drone Refind Produsts","Drone Refind Produsts; technology Method","https://lens.org/148-364-455-613-597"
"","LI SHUXIANG","0","","","1","RENPEI YAO","A23L2/38; A23L21/20","Foodstuffs","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General","","CN","China","CN 92114660 A","1992","CN","China","1994-6-29","CN 1088413 A","1994","Bee Pupa Beverage And Making Method","bee Pupa Beverage; making Method","https://lens.org/053-341-852-308-258"
"","LIU GUOFENG","3","","","1","CHEN HONGJUN; LIU GUOFENG","A23L21/25","Foodstuffs","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General","","CN","China","CN 03137707 A","2003","CN","China","2005-1-19","CN 1565231 A","2005","Bee Honey Product Formula","bee Honey Product Formula","https://lens.org/048-219-711-871-354"
"","TAIHE LIU","0","","","2","TAIHE LIU","A23L21/20; A23L33/00","Foodstuffs","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General","ã€Šå…»èœ‚ç§‘æŠ€ã€‹ 19941231 æ±¤ç‘žå¤ç­‰ äºŸå¾…å¼€å‘çš„é£Ÿç”¨çå“ï¼èœ‚è›¹ 20ï¼21 1ï¼3 , ç¬¬2æœŸ 2;;ã€Šå†œæ‘ç§‘æŠ€ã€‹ 19981231 è°¢æ˜Œæ° èœ‚èƒŽåŸ¹è‚²ä¸Žåº”ç”¨ 20ï¼21 1ï¼3 , ç¬¬4æœŸ 2","CN","China","CN 201010216347 A","2010","CN","China","2010-11-24","CN 101889668 A","2010","Biological Health-care Product For Improving Male Sexual Function","biological Health-care Product; Improving Male Sexual Function","https://lens.org/082-610-521-255-416"
"BEIJING BAIHUA BEE PRODUCT TECHNOLOGY DEV CO LTD","BEIJING BAIHUA BEE PRODUCT TECHNOLOGY DEV CO LTD","0","","","2","YANG HANBING; YIN KEQING","A23L21/20; A23L33/00","Foodstuffs","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General","","CN","China","CN 201010229928 A","2010","CN","China","2013-5-22","CN 102334626 B","2013","Formula And Preparation Method For Five-apian Treasure Cream","Five-apian Treasure Cream; Preparation Method","https://lens.org/022-289-358-409-600"
"","ZHANG XINJUN","0","","","2","ZHANG XINJUN","A23L33/00; A61K36/296; A61K47/46; A61K9/48; A61P15/00; A61P25/28; A61P3/00; A61P37/04; A61P39/00; A61P39/06; A61P5/00; A61P9/08","Foodstuffs; Medical","A23L: Human Necessities -> Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes -> Foods, Foodstuffs, Or Non-Alcoholic Beverages, Not Covered By Subclasses A21d Or A23b-A23j; Their Preparation Or Treatment, E.G. Cooking, Modification Of Nutritive Qualities, Physical Treatment; Preservation Of Foods Or Foodstuffs, In General; A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations","","CN","China","CN 201310443016 A","2013","CN","China","2015-6-24","CN 103494194 B","2015","Novel Formula And Production Technology Of Drone, Ginseng And Pseudo-ginseng Capsule Product","novel Formula; Production Technology; Pseudo-ginseng Capsule Product","https://lens.org/170-711-546-375-556"
"","","0","B60J10/82; B60J7/043; B60J7/22","","3","ì´ì •ë; ì„±í™”ê","B60J10/90; B60J7/043; B60J7/22","Vehicles","B60J: Performing Operations; Transporting -> Vehicles In General -> Windows, Windscreens, Non-Fixed Roofs, Doors, Or Similar Devices For Vehicles; Removable External Protective Coverings Specially Adapted For Vehicles","","KR","Republic of Korea","KR 20130149845 A","2013","KR","Republic of Korea","2015-4-13","KR 101511555 B1","2015","Structure Of Folding Type Sunroof Deflector","Folding Type Sunroof Deflector","https://lens.org/011-385-779-962-851"
"WMD TECH","WMD TECH","2","F42D1/05","","1","BROWN ROBERT","F42D1/05","Weapons","F42D: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Blasting","","US","United States of America","US 201361889394 P","2013","US","United States of America","2015-4-16","US 2015/0101503 A1","2015","Mesh Network Controller","mesh Network Controller","https://lens.org/050-896-909-924-650"
"CENTURYLINK IP LLC","CENTURYLINK IP LLC","0","G06F2009/45595; G06F9/45558; H04L12/4625; H04L12/4641; H04L29/06224; H04L41/0813; H04L43/08; H04L49/354; H04L65/103; H04L67/141","","3","COOK CHARLES I; FARGANO MICHAEL J; MCBRIDE KEVIN M; MCMANUS JOHN; O'BRIEN JR WILLIAM","H04L12/24; H04L12/26; H04L12/46","Electric Communication/Television","H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication","","US","United States of America","US 201461974927 P; US 201461974930 P; US 201461976896 P; US 201461977820 P","2014","US","United States of America","2015-10-8","US 2015/0288541 A1","2015","Network Functions Virtualization Interconnection Gateway","network Functions Virtualization Interconnection Gateway","https://lens.org/181-154-815-085-603"
"SANKYO CO","SANKYO CO","1","","","1","HAYASHI TAKASHI; UGAWA SHOHACHI","A63F7/02","Sports","A63F: Human Necessities -> Sports; Games; Amusements -> Card, Board Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For","","JP","Japan","JP 2000232392 A","2000","JP","Japan","2002-2-12","JP 2002045523 A","2002","Game Machine","game Machine","https://lens.org/033-778-395-557-377"
"","","0","","","1","ê¹€í˜œë","B64C27/08; B64C39/02; B64D47/00; B65D25/04","Aircraft; Conveying/Packing","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; B65D: Performing Operations; Transporting -> Conveying; Packing; Storing; Handling Thin Or Filamentary Material -> Containers For Storage Or Transport Of Articles Or Materials, E.G. Bags, Barrels, Bottles, Boxes, Cans, Cartons, Crates, Drums, Jars, Tanks, Hoppers, Forwarding Containers; Accessories, Closures, Or Fittings Therefor; Packaging Elements; Packages","","KR","Republic of Korea","KR 20150005846 U","2015","KR","Republic of Korea","2016-1-19","KR 200479365 Y1","2016","Drones With Storage Vessel For Agricultural Chemicals","Agricultural Chemicals; Storage Vessel","https://lens.org/186-660-321-404-225"
"","","0","","","2","ìµœëŒ€ì","H04N7/18","Electric Communication/Television","H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","KR","Republic of Korea","KR 20140035017 A","2014","KR","Republic of Korea","2016-2-4","KR 101591958 B1","2016","Monitoring Camera System Equipped Drone And Controlled By Smart-phone","Camera System Equipped Drone","https://lens.org/044-005-721-627-081"
"","GUIDI ANNA","0","B65G47/52","","1","GUIDI ANNA","B65G47/52","Conveying/Packing","B65G: Performing Operations; Transporting -> Conveying; Packing; Storing; Handling Thin Or Filamentary Material -> Transport Or Storage Devices, E.G. Conveyors For Loading Or Tipping, Shop Conveyor Systems Or Pneumatic Tube Conveyors","","IT","Italy","IT BO20140474 A","2014","WO","WIPO (PCT)","2016-3-3","WO 2016/030797 A1","2016","A Product Transfer System In A Closed Industrial Environment","Closed Industrial Environment; Product Transfer System","https://lens.org/111-476-571-104-718"
"PCTEL INC","PCTEL INC","0","G01S19/14; G05D1/0011; H04W24/08","","5","BLAKE BUCHANAN; JOHNSON BRANDON; SATOH ATSUSHI; SINGER MARTIN H; ZIK JAMES","B64C39/02; G01R29/08; G08C17/02","Aircraft; Measuring; Signalling","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G01R: Physics -> Measuring; Testing -> Measuring Electric Variables; Measuring Magnetic Variables; G08C: Physics -> Signalling -> Transmission Systems For Measured Values, Control Or Similar Signals","","US","United States of America","US 201461982856 P; US 201514689979 A","2014; 2015","CN","China","2015-11-4","CN 105015779 A","2015","System, Apparatus, And Method For The Measurement, Collection, And Analysis Of Radio Signals Utilizing Unmanned Aerial Vehicles","Radio Signals; unmanned Aerial Vehicles","https://lens.org/160-789-039-142-296"
